kind,matsubara_index,temperature_K,q_magnitude,q_phi,qx,qy,nk,delta0,eta,response_xx,response_yy,response_xy,response_yx,sheet_xx_SI,reflection_xx,finite_q_resolved,finite_q_response_diagnostic,final_casimir_input,not_final_Casimir_conclusion,local_reference_hook_passed,local_limit_abs_error,local_limit_relative_error,small_q_limit_abs_error,small_q_limit_relative_error,small_q_limit_status,q_to_0_continuity_tested,q_to_0_continuity_passed,angular_anisotropy_A4_xx,angular_anisotropy_A4_trace,delta_A4_spm,delta_A4_dwave,A4_pairing_contrast,delta_A4_trace_spm,delta_A4_trace_dwave,A4_trace_pairing_contrast,relative_offdiag,relative_eigen_split,gauge_status,diagnostic_status,legacy_response_xx_contrast,notes
normal,1,30.0,0.0,0.0,0.0,0.0,6,0.04,0.0001,(0.18430169743798755+0j),(0.1843016974379876+0j),(-7.757478029019602e-18+0j),(-4.93855238055729e-18+0j),(4.4861517677448e-05+0j),(0.01690069362619644+0j),False,True,False,True,True,0.0,0.0,nan,nan,not_tested,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989684562813353e-17,3.0119717833817453e-16,prototype_not_ward_verified,pass_local_limit,0.00346217229798597,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
normal,1,30.0,0.0,0.7853981634,0.0,0.0,6,0.04,0.0001,(0.18430169743798755+0j),(0.1843016974379876+0j),(-7.757478029019602e-18+0j),(-4.93855238055729e-18+0j),(4.4861517677448e-05+0j),(0.01690069362619644+0j),False,True,False,True,True,0.0,0.0,nan,nan,not_tested,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989684562813353e-17,3.0119717833817453e-16,prototype_not_ward_verified,pass_local_limit,0.00346217229798597,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
normal,1,30.0,0.05,0.0,0.05,0.0,6,0.04,0.0001,(0.18435856612858187+0j),(0.18442463067194376+0j),(-5.421010862427522e-18+0j),(-4.77048955893622e-18+0j),(4.487536028337e-05+0j),(0.016905908555467402+0j),True,True,False,True,False,0.00013544972491972944,0.0005196773569208152,nan,nan,not_tested,False,False,8.964650113082118e-05,6.749925271104583e-08,0.00013060457220374585,-4.210847501143675e-05,-0.0001727130472151826,2.374985426704195e-06,1.7327169837536472e-06,-6.422684429505476e-07,3.91620044914343e-17,0.000358283912797806,prototype_not_ward_verified,finite_q_diagnostic,0.012645263609975706,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
normal,1,30.0,0.05,0.7853981634,0.03535533905923716,0.035355339059417595,6,0.04,0.0001,(0.18439162329285483+0j),(0.18439162329285455+0j),(-4.816946645676799e-05+0j),(-4.816946645676669e-05+0j),(4.4883406842788676e-05+0j),(0.01690893993832114+0j),True,True,False,True,False,0.0001442702801848666,0.0005535190118188001,nan,nan,not_tested,False,False,8.964650113082118e-05,6.749925271104583e-08,0.00013060457220374585,-4.210847501143675e-05,-0.0001727130472151826,2.374985426704195e-06,1.7327169837536472e-06,-6.422684429505476e-07,0.0003694414721174377,0.0005224691403718137,prototype_not_ward_verified,finite_q_diagnostic,0.012819432011223342,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
spm,1,30.0,0.0,0.0,0.0,0.0,6,0.04,0.0001,(59.80278467537338+0j),(59.802784675373395+0j),(2.851378019331894e-16+0j),(5.187547281695992e-16+0j),(0.014556803975056074+0j),(5.483989327509892+0j),False,True,False,True,True,0.0,0.0,nan,nan,not_tested,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898442390974397e-18,2.3762864542750954e-16,prototype_not_ward_verified,pass_local_limit,0.00346217229798597,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
spm,1,30.0,0.0,0.7853981634,0.0,0.0,6,0.04,0.0001,(59.80278467537338+0j),(59.802784675373395+0j),(2.851378019331894e-16+0j),(5.187547281695992e-16+0j),(0.014556803975056074+0j),(5.483989327509892+0j),False,True,False,True,True,0.0,0.0,nan,nan,not_tested,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898442390974397e-18,2.3762864542750954e-16,prototype_not_ward_verified,pass_local_limit,0.00346217229798597,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
spm,1,30.0,0.05,0.0,0.05,0.0,6,0.04,0.0001,(22.082057389916237+0j),(22.062822932317232+0j),(-1.4893079047571122e-16+0j),(1.981572142183833e-18+0j),(0.0053750704509136155+0j),(2.0249519769541657+0j),True,True,False,True,False,53.358766658452424,0.6309128570643234,nan,nan,not_tested,False,False,0.00022025107333456702,2.4424846794152405e-06,0.00013060457220374585,-4.210847501143675e-05,-0.0001727130472151826,2.374985426704195e-06,1.7327169837536472e-06,-6.422684429505476e-07,6.74796132792524e-18,0.0008714241587519943,prototype_not_ward_verified,finite_q_diagnostic,0.012645263609975706,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
spm,1,30.0,0.05,0.7853981634,0.03535533905923716,0.035355339059417595,6,0.04,0.0001,(22.07233233818619+0j),(22.07233233818627+0j),(-0.0030076483517163777+0j),(-0.0030076483517153304+0j),(0.005372703242221746+0j),(2.0240601776811626+0j),True,True,False,True,False,53.35891757925193,0.630914641548463,nan,nan,not_tested,False,False,0.00022025107333456702,2.4424846794152405e-06,0.00013060457220374585,-4.210847501143675e-05,-0.0001727130472151826,2.374985426704195e-06,1.7327169837536472e-06,-6.422684429505476e-07,0.00019270537542998814,0.000272526555474785,prototype_not_ward_verified,finite_q_diagnostic,0.012819432011223342,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
dwave,1,30.0,0.0,0.0,0.0,0.0,6,0.04,0.0001,(60.21703781153406+0j),(60.21703781153407+0j),(4.244605748510751e-16+0j),(5.712794265963009e-16+0j),(0.01465763877283141+0j),(5.52197685250433+0j),False,True,False,True,True,0.0,0.0,nan,nan,not_tested,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1819031663567125e-17,1.179969592632472e-16,prototype_not_ward_verified,pass_local_limit,0.00346217229798597,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
dwave,1,30.0,0.0,0.7853981634,0.0,0.0,6,0.04,0.0001,(60.21703781153406+0j),(60.21703781153407+0j),(4.244605748510751e-16+0j),(5.712794265963009e-16+0j),(0.01465763877283141+0j),(5.52197685250433+0j),False,True,False,True,True,0.0,0.0,nan,nan,not_tested,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1819031663567125e-17,1.179969592632472e-16,prototype_not_ward_verified,pass_local_limit,0.00346217229798597,finite-q response diagnostic prototype | q_magnitude is dimensionless BZ momentum | symmetric k +/- q/2 sampling | gradient/Peierls finite-q current vertex prototype | finite-q diamagnetic and Ward identity are not closed | not a final gauge-invariant finite-q Casimir input | not a final Casimir torque conclusion
